No Satelit    Epoch                 B*               True Anomaly       Ketinggian
41603         2023.36898688436      0.00016515        67.04319720       495.00459827
41603         2023.37039006148      0.00016197       353.30423002       488.94945966
41603         2023.37133447603      0.00015944        82.63000274       497.60699116
41603         2023.37203566463      0.00015421        44.76136035       491.80143263
41603         2023.37287865205      0.00010880       290.41029818       495.43528280
41603         2023.37377909537      0.00010320       291.40346247       495.27353167
41603         2023.37467953803      0.00010077       292.43029276       495.11013844
41603         2023.37503971474      0.00010219       292.82854060       495.04731417
41603         2023.37557997945      0.00010106       293.44537621       494.95000920
41603         2023.37666050773      0.00010204       294.65820215       494.76153480
41603         2023.37684059559      0.00010284       294.87039926       494.72839331
41603         2023.37720077134      0.00010735       295.29210623       494.66316506
41603         2023.37774103468      0.00010709       295.89685228       494.57208734
41603         2023.37828129756      0.00010553       296.51792336       494.47896139
41603         2023.37918173529      0.00010551       297.53889592       494.32564596
41603         2023.38008217167      0.00010994       298.61659694       494.16190609
41603         2023.38044234575      0.00010826       299.05099533       494.09807300
41603         2023.38134277989      0.00012403       300.08636135       493.94214378
41603         2023.38188304047      0.00011977       300.68491260       493.85492149
41603         2023.38296355932      0.00012790       302.00434442       493.65709054
41603         2023.38332373178      0.00012401       302.36742041       493.60774740
41603         2023.38404407707      0.00013010       303.13628911       493.49716309
41603         2023.38458433532      0.00013387       303.73671461       493.41177660
41603         2023.38512459340      0.00013147       304.33307557       493.32954767
41603         2023.38566485082      0.00013668       304.95788619       493.24311759
41603         2023.38602502189      0.00013789       305.34906451       493.19179016
41603         2023.38674536258      0.00014715       306.24764623       493.06821022
41603         2023.38746570345      0.00014325       307.04566606       492.96342140
41603         2023.38782587474      0.00013139       307.45516561       492.91358274
41603         2023.38836612967      0.00013396       308.07210230       492.83566711
41603         2023.38872629959      0.00013126       308.48854533       492.78426576
41603         2023.38926655370      0.00013379       309.11923491       492.70608537
41603         2023.39052714584      0.00012801       310.58801809       492.52695887
41603         2023.39106739879      0.00013009       311.23503421       492.44822474
41603         2023.39142756756      0.00012417       311.68087131       492.39729573
41603         2023.39196781975      0.00012472       312.32746708       492.32321571
41603         2023.39322840718      0.00011832       313.81460706       492.15237950
41603         2023.39340849093      0.00011698       314.01745630       492.13039843
41603         2023.39664999134      0.00011838       317.77728852       491.72262311
41603         2023.39701015759      0.00011052       318.19323384       491.68234910
41603         2023.39773048882      0.00011028       319.03154997       491.59923903
41603         2023.39863090266      0.00010477       320.07624616       491.49799056
41603         2023.39881098523      0.00010303       320.27942643       491.47943067
41603         2023.39935123293      0.00010270       320.93023121       491.41806284
41603         2023.39971139800      0.00009764       321.34562622       491.38245469
41603         2023.40043172734      0.00009405       322.21023577       491.30299115
41603         2023.40115205641      0.00009082       323.07257018       491.22685625
41603         2023.40223254882      0.00009128       324.38445360       491.11919930
41603         2023.40241263082      0.00009083       324.60168166       491.10178599
41603         2023.40295287726      0.00009568       325.49790094       491.01784320
41603         2023.40331303997      0.00009961       325.71115390       491.00939800
41603         2023.40385328510      0.00009874       326.35464300       490.96094582
41603         2023.40511385534      0.00010238       327.88987381       490.85039572
41603         2023.40529393666      0.00010257       328.11111680       490.83391400
41603         2023.40601426181      0.00009937       328.98609093       490.77321854
41603         2023.40655450545      0.00009732       329.62340038       490.73208017
41603         2023.40709474855      0.00009524       330.25360349       490.69311319
41603         2023.40745491044      0.00009738       330.70079853       490.66103769
41603         2023.40799515307      0.00009628       331.34312119       490.62112786
41603         2023.40871547611      0.00009312       332.20959409       490.56692681
41603         2023.40925571819      0.00009416       332.84790223       490.52825141
